            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
 122.175.43.225|  131.247.67.45|16814|   25|  6|         6|       400|        |2016/04/06T05:56:03.309|    1.472|2016/04/06T05:56:04.781|Health|
  125.16.182.17|  131.247.67.45|21212|   25|  6|         5|       328|        |2016/04/06T05:55:57.486|    1.152|2016/04/06T05:55:58.638|Health|
  113.161.7.137|  131.247.67.45|57101|   25|  6|         6|       358|        |2016/04/06T05:57:31.502|    1.344|2016/04/06T05:57:32.846|Health|
  223.196.97.90|  131.247.67.45|10720|   25|  6|         6|       352|        |2016/04/06T05:58:50.347|    1.792|2016/04/06T05:58:52.139|Health|
  163.172.7.229|  10.119.120.33|33492|   80|  6|        12|       807|        |2016/04/06T05:07:10.123|    1.024|2016/04/06T05:07:11.147|Health|
  163.172.7.229|  10.119.120.33|33433|   80|  6|        11|       803|        |2016/04/06T05:07:09.869|    7.872|2016/04/06T05:07:17.741|Health|
     5.9.17.118|  10.119.120.33|58432|   80|  6|       190|     10533|        |2016/04/06T05:09:52.042|    5.888|2016/04/06T05:09:57.930|Health|
     5.9.17.118|  10.119.120.33|60387|   80|  6|        27|      1680|        |2016/04/06T05:20:39.429|    1.024|2016/04/06T05:20:40.453|Health|
   91.200.12.25|  10.119.120.33|55439|   80|  6|         5|       474|        |2016/04/06T05:43:19.423|    0.384|2016/04/06T05:43:19.807|Health|
   91.200.12.25|  10.119.120.33|55490|   80|  6|        11|       770|        |2016/04/06T05:43:19.806|    2.368|2016/04/06T05:43:22.174|Health|
  163.172.7.229|  10.119.120.33|45111|   80|  6|        15|       966|        |2016/04/06T05:55:47.630|    1.088|2016/04/06T05:55:48.718|Health|
  163.172.7.229|  10.119.120.33|45047|   80|  6|        13|       862|        |2016/04/06T05:55:47.375|    0.512|2016/04/06T05:55:47.887|Health|
 89.248.171.160|  131.247.67.45|20409|   25|  6|        11|       655|        |2016/04/06T06:02:40.937|    0.960|2016/04/06T06:02:41.897|Health|
 122.175.43.225|  131.247.67.45|17787|   25|  6|         5|       353|        |2016/04/06T06:05:28.675|    1.152|2016/04/06T06:05:29.827|Health|
 175.101.75.145|  131.247.67.45|16291|   25|  6|         6|       365|        |2016/04/06T06:06:21.793|    1.728|2016/04/06T06:06:23.521|Health|
  209.198.1.250|   131.247.67.1| 6452|   53| 17|         1|        71|        |2016/04/06T06:08:02.078|    0.000|2016/04/06T06:08:02.078|Health|
  125.16.182.17|  131.247.67.45|22593|   25|  6|         5|       325|        |2016/04/06T06:08:41.502|    1.088|2016/04/06T06:08:42.590|Health|
 113.161.72.217|  131.247.67.45|37710|   25|  6|         6|       359|        |2016/04/06T06:10:55.130|    1.344|2016/04/06T06:10:56.474|Health|
  200.43.181.74|  131.247.67.45|17250|   25|  6|         7|       426|        |2016/04/06T06:11:20.409|    1.152|2016/04/06T06:11:21.561|Health|
184.105.247.195|   131.247.59.3|60657| 5351| 17|         2|        60|        |2016/04/06T06:11:34.736|    4.004|2016/04/06T06:11:38.740|Health|
 216.12.249.195|   131.247.67.1|22050|   53| 17|         1|        80|        |2016/04/06T06:12:25.436|    0.000|2016/04/06T06:12:25.436|Health|
   117.6.126.34|  131.247.67.45|34634|   25|  6|        10|       542|        |2016/04/06T06:15:48.374|    1.280|2016/04/06T06:15:49.654|Health|
     5.9.17.118|   131.247.67.1|39132|   53| 17|         1|        71|        |2016/04/06T06:21:37.613|    0.000|2016/04/06T06:21:37.613|Health|
     5.9.17.118|   131.247.67.1|14962|   53| 17|         1|        79|        |2016/04/06T06:21:37.613|    0.000|2016/04/06T06:21:37.613|Health|
  113.161.7.137|  131.247.67.45|34736|   25|  6|         5|       316|        |2016/04/06T06:22:46.988|    1.152|2016/04/06T06:22:48.140|Health|
 89.248.171.160|  131.247.67.45|50027|   25|  6|        10|       591|        |2016/04/06T06:22:49.354|    0.960|2016/04/06T06:22:50.314|Health|
 83.220.110.248| 131.247.65.250|54854|   23|  6|         3|       180| S      |2016/04/06T06:22:43.574|    4.004|2016/04/06T06:22:47.578|Health|
     46.161.9.8|   131.247.67.1| 3044|   53| 17|         1|        66|        |2016/04/06T06:23:42.735|    0.000|2016/04/06T06:23:42.735|Health|
     46.161.9.8|   131.247.67.1|38796|   53| 17|         1|        66|        |2016/04/06T06:23:57.900|    0.000|2016/04/06T06:23:57.900|Health|
 113.161.72.217|  131.247.67.45|41996|   25|  6|         5|       318|        |2016/04/06T06:27:22.892|    1.216|2016/04/06T06:27:24.108|Health|
  113.161.28.28|  131.247.67.45|56508|   25|  6|         6|       358|        |2016/04/06T06:32:31.808|    1.600|2016/04/06T06:32:33.408|Health|
 216.12.249.195|   131.247.67.1|47711|   53| 17|         1|        80|        |2016/04/06T06:37:35.417|    0.000|2016/04/06T06:37:35.417|Health|
 216.12.249.195|   131.247.67.1|44953|   53| 17|         1|        80|        |2016/04/06T06:37:35.416|    0.000|2016/04/06T06:37:35.416|Health|
 216.12.249.195|   131.247.67.1|16146|   53| 17|         1|        87|        |2016/04/06T06:37:35.417|    0.000|2016/04/06T06:37:35.417|Health|
 216.12.249.195|   131.247.67.1|57542|   53| 17|         1|        88|        |2016/04/06T06:37:35.416|    0.000|2016/04/06T06:37:35.416|Health|
113.161.207.174|  131.247.67.45|26820|   25|  6|         7|       389|        |2016/04/06T06:37:42.970|    2.176|2016/04/06T06:37:45.146|Health|
113.174.195.154|  131.247.67.45|45978|   25|  6|         6|       361|        |2016/04/06T06:40:32.177|    1.216|2016/04/06T06:40:33.393|Health|
 89.248.171.160|  131.247.67.45|14965|   25|  6|        10|       591|        |2016/04/06T06:43:31.379|    1.088|2016/04/06T06:43:32.467|Health|
 113.161.72.217|  131.247.67.45|46439|   25|  6|         5|       318|        |2016/04/06T06:44:55.024|    1.024|2016/04/06T06:44:56.048|Health|
203.210.197.222|  131.247.67.45|18685|   25|  6|         6|       362|        |2016/04/06T06:47:19.332|    1.408|2016/04/06T06:47:20.740|Health|
   122.3.87.116|   131.247.59.8|43895|   23|  6|         1|        60|        |2016/04/06T06:47:52.365|    0.000|2016/04/06T06:47:52.365|Health|
     74.82.47.3|   131.247.67.1|12598|   53| 17|         1|        84|        |2016/04/06T06:48:01.131|    0.000|2016/04/06T06:48:01.131|Health|
 115.79.205.104|  131.247.67.45|16836|   25|  6|         6|       366|        |2016/04/06T06:48:34.475|    1.600|2016/04/06T06:48:36.075|Health|
