            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
   172.17.1.193|        8.8.8.8|38982|   53| 17|         1|        60|        |2016/04/06T00:03:08.176|    0.000|2016/04/06T00:03:08.176|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|         9|       756|        |2016/04/06T00:03:12.355|    8.000|2016/04/06T00:03:20.355|Health|
    172.18.5.48|    192.168.0.1|51739|   53| 17|         1|        67|        |2016/04/06T00:03:16.622|    0.000|2016/04/06T00:03:16.622|Health|
   172.17.7.168|        8.8.8.8|54611|   53| 17|         1|        60|        |2016/04/06T00:03:16.494|    0.000|2016/04/06T00:03:16.494|Health|
    172.18.5.48|    192.168.0.1|62987|   53| 17|         1|       155|        |2016/04/06T00:03:20.654|    0.000|2016/04/06T00:03:20.654|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:03:20.490|    0.000|2016/04/06T00:03:20.490|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|         1|        84|        |2016/04/06T00:03:21.379|    0.000|2016/04/06T00:03:21.379|Health|
  131.247.65.11|        8.8.8.8|34904|   53| 17|         2|       144|        |2016/04/06T00:03:46.027|    0.064|2016/04/06T00:03:46.091|Health|
  131.247.65.11|        8.8.8.8|48030|   53| 17|         2|       138|        |2016/04/06T00:03:47.113|    0.000|2016/04/06T00:03:47.113|Health|
  131.247.65.11|        8.8.8.8|42200|   53| 17|         2|       140|        |2016/04/06T00:03:48.011|    0.000|2016/04/06T00:03:48.011|Health|
  131.247.65.11|        8.8.8.8|44920|   53| 17|         2|       138|        |2016/04/06T00:03:47.883|    0.000|2016/04/06T00:03:47.883|Health|
  131.247.65.11|        8.8.8.8|56217|   53| 17|         2|       140|        |2016/04/06T00:03:48.137|    0.000|2016/04/06T00:03:48.137|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:04:01.771|    0.000|2016/04/06T00:04:01.771|Health|
   10.119.53.87|        8.8.8.8|51673|   53| 17|         2|       148|        |2016/04/06T00:04:02.338|    0.960|2016/04/06T00:04:03.298|Health|
   172.17.1.193|        8.8.8.8|36144|   53| 17|         1|        60|        |2016/04/06T00:04:13.579|    0.000|2016/04/06T00:04:13.579|Health|
   131.247.63.6|        8.8.8.8|50035|   53| 17|         1|        60|        |2016/04/06T00:04:15.979|    0.000|2016/04/06T00:04:15.979|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:04:22.378|    0.000|2016/04/06T00:04:22.378|Health|
   131.247.63.6|        8.8.8.8|56858|   53| 17|         1|        86|        |2016/04/06T00:04:22.376|    0.000|2016/04/06T00:04:22.376|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|         9|       756|        |2016/04/06T00:04:24.028|    8.000|2016/04/06T00:04:32.028|Health|
   172.17.1.193|        8.8.8.8|52392|   53| 17|         1|        60|        |2016/04/06T00:04:23.632|    0.000|2016/04/06T00:04:23.632|Health|
  131.247.65.11|        8.8.8.8|43865|   53| 17|         1|        83|        |2016/04/06T00:04:33.515|    0.000|2016/04/06T00:04:33.515|Health|
  131.247.65.11|        8.8.8.8|46547|   53| 17|         2|       166|        |2016/04/06T00:04:33.514|    0.000|2016/04/06T00:04:33.514|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|         1|        84|        |2016/04/06T00:04:33.051|    0.000|2016/04/06T00:04:33.051|Health|
  131.247.65.11|        8.8.8.8|53195|   53| 17|         2|       160|        |2016/04/06T00:04:44.711|    0.000|2016/04/06T00:04:44.711|Health|
  131.247.65.11|        8.8.8.8|51196|   53| 17|         2|       144|        |2016/04/06T00:04:45.287|    0.000|2016/04/06T00:04:45.287|Health|
   10.119.34.27|        8.8.8.8|43814|   53| 17|         1|        65|        |2016/04/06T00:04:56.860|    0.000|2016/04/06T00:04:56.860|Health|
    172.25.1.20|        1.1.1.1|    0| 2048|  1|         1|        60|        |2016/04/06T00:05:00.138|    0.000|2016/04/06T00:05:00.138|Health|
   10.119.52.90|        1.1.1.1|49237| 8000| 17|         1|        90|        |2016/04/06T00:04:59.946|    0.000|2016/04/06T00:04:59.946|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:05:01.929|    0.000|2016/04/06T00:05:01.929|Health|
   172.17.7.168|        8.8.8.8|34135|   53| 17|         1|        60|        |2016/04/06T00:05:03.312|    0.000|2016/04/06T00:05:03.312|Health|
   172.17.7.168|        8.8.8.8|    0|  771|  1|         1|       104|        |2016/04/06T00:05:04.081|    0.000|2016/04/06T00:05:04.081|Health|
   10.119.53.87|        8.8.8.8|61016|   53| 17|         3|       222|        |2016/04/06T00:05:13.756|    8.512|2016/04/06T00:05:22.268|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:05:23.996|    0.000|2016/04/06T00:05:23.996|Health|
   10.119.34.33|    192.168.1.1|51896|  139|  6|         1|        64|        |2016/04/06T00:05:22.140|    0.000|2016/04/06T00:05:22.140|Health|
   172.17.1.193|        8.8.8.8|53750|   53| 17|         1|        60|        |2016/04/06T00:05:28.913|    0.000|2016/04/06T00:05:28.913|Health|
   10.119.34.27|        8.8.8.8|52762|   53| 17|         1|        71|        |2016/04/06T00:05:30.651|    0.000|2016/04/06T00:05:30.651|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|        10|       840|        |2016/04/06T00:05:35.707|    9.024|2016/04/06T00:05:44.731|Health|
   10.119.34.39|    192.168.1.1|56689|  139|  6|         1|        64|        |2016/04/06T00:05:39.994|    0.000|2016/04/06T00:05:39.994|Health|
  131.247.65.11|        8.8.8.8|39845|   53| 17|         2|       144|        |2016/04/06T00:05:45.501|    0.000|2016/04/06T00:05:45.501|Health|
  131.247.65.11|        8.8.8.8|59639|   53| 17|         1|        64|        |2016/04/06T00:05:52.797|    0.000|2016/04/06T00:05:52.797|Health|
     10.119.4.5|     72.52.4.91|61848|   53| 17|         1|        72|        |2016/04/06T00:05:56.827|    0.000|2016/04/06T00:05:56.827|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:06:02.460|    0.000|2016/04/06T00:06:02.460|Health|
     10.119.4.5|     72.52.4.91|60238|   53| 17|         1|        72|        |2016/04/06T00:06:03.672|    0.000|2016/04/06T00:06:03.672|Health|
     10.119.4.5|     72.52.4.91|62457|   53| 17|         1|        72|        |2016/04/06T00:06:09.689|    0.000|2016/04/06T00:06:09.689|Health|
 131.247.67.126|     72.52.4.91|60020|   53| 17|         1|        83|        |2016/04/06T00:06:14.106|    0.000|2016/04/06T00:06:14.106|Health|
 131.247.67.127|     72.52.4.91|57506|   53| 17|         1|        83|        |2016/04/06T00:06:14.103|    0.000|2016/04/06T00:06:14.103|Health|
   131.247.63.6|        8.8.8.8|60980|   53| 17|         1|        71|        |2016/04/06T00:06:17.258|    0.000|2016/04/06T00:06:17.258|Health|
     10.119.4.5|     72.52.4.91|62535|   53| 17|         1|        72|        |2016/04/06T00:06:19.032|    0.000|2016/04/06T00:06:19.032|Health|
 131.247.67.126|     72.52.4.91|60570|   53| 17|         1|        72|        |2016/04/06T00:06:17.303|    0.000|2016/04/06T00:06:17.303|Health|
     10.119.4.5|     72.52.4.91|61527|   53| 17|         1|        72|        |2016/04/06T00:06:23.961|    0.000|2016/04/06T00:06:23.961|Health|
   10.119.53.87|        8.8.8.8|61097|   53| 17|         3|       222|        |2016/04/06T00:06:24.408|    8.576|2016/04/06T00:06:32.984|Health|
   172.17.1.193|        8.8.8.8|42238|   53| 17|         1|        60|        |2016/04/06T00:06:29.265|    0.000|2016/04/06T00:06:29.265|Health|
   131.247.63.6|        8.8.8.8|57417|   53| 17|         1|        87|        |2016/04/06T00:06:29.609|    0.000|2016/04/06T00:06:29.609|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:06:29.609|    0.000|2016/04/06T00:06:29.609|Health|
     10.119.4.5|     72.52.4.91|61147|   53| 17|         1|        72|        |2016/04/06T00:06:31.768|    0.000|2016/04/06T00:06:31.768|Health|
     10.119.4.5|     72.52.4.91|62724|   53| 17|         1|        72|        |2016/04/06T00:06:38.039|    0.000|2016/04/06T00:06:38.039|Health|
   172.17.7.168|        8.8.8.8|46174|   53| 17|         1|        60|        |2016/04/06T00:06:42.453|    0.000|2016/04/06T00:06:42.453|Health|
  131.247.65.11|        8.8.8.8|39036|   53| 17|         1|        72|        |2016/04/06T00:06:45.737|    0.000|2016/04/06T00:06:45.737|Health|
     10.119.4.5|     72.52.4.91|61470|   53| 17|         1|        72|        |2016/04/06T00:06:47.317|    0.000|2016/04/06T00:06:47.317|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|        10|       840|        |2016/04/06T00:06:47.382|    9.024|2016/04/06T00:06:56.406|Health|
     172.18.3.9|    192.168.0.1|57489|   53| 17|         1|       120|        |2016/04/06T00:06:46.611|    0.000|2016/04/06T00:06:46.611|Health|
  131.247.65.11|        8.8.8.8|    0|  771|  1|         1|       100|        |2016/04/06T00:06:50.727|    0.000|2016/04/06T00:06:50.727|Health|
     172.18.3.9|    192.168.0.1|46906|   53| 17|         1|       120|        |2016/04/06T00:06:50.575|    0.000|2016/04/06T00:06:50.575|Health|
     172.18.3.9|    192.168.0.1|53110|   53| 17|         1|       120|        |2016/04/06T00:06:54.610|    0.000|2016/04/06T00:06:54.610|Health|
     10.119.4.5|     72.52.4.91|60331|   53| 17|         1|        72|        |2016/04/06T00:06:56.405|    0.000|2016/04/06T00:06:56.405|Health|
     172.18.3.9|    192.168.0.1|33183|   53| 17|         1|       120|        |2016/04/06T00:06:58.576|    0.000|2016/04/06T00:06:58.576|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:07:02.888|    0.000|2016/04/06T00:07:02.888|Health|
     172.18.3.9|    192.168.0.1|41865|   53| 17|         1|        67|        |2016/04/06T00:07:08.563|    0.000|2016/04/06T00:07:08.563|Health|
   172.17.1.193|        8.8.8.8|58321|   53| 17|         1|        60|        |2016/04/06T00:07:09.458|    0.000|2016/04/06T00:07:09.458|Health|
     172.18.3.9|    192.168.0.1|40768|   53| 17|         1|       155|        |2016/04/06T00:07:12.592|    0.000|2016/04/06T00:07:12.592|Health|
   172.17.1.193|        8.8.8.8|59679|   53| 17|         1|        60|        |2016/04/06T00:07:12.527|    0.000|2016/04/06T00:07:12.527|Health|
     172.18.3.9|    192.168.0.1|40341|   53| 17|         1|        67|        |2016/04/06T00:07:16.563|    0.000|2016/04/06T00:07:16.563|Health|
   172.17.1.193|        8.8.8.8|60649|   53| 17|         1|        60|        |2016/04/06T00:07:15.473|    0.000|2016/04/06T00:07:15.473|Health|
     172.18.3.9|    192.168.0.1|44457|   53| 17|         1|       167|        |2016/04/06T00:07:20.595|    0.000|2016/04/06T00:07:20.595|Health|
   10.119.34.27|        8.8.8.8|49446|   53| 17|         1|        65|        |2016/04/06T00:07:25.967|    0.000|2016/04/06T00:07:25.967|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:07:31.238|    0.000|2016/04/06T00:07:31.238|Health|
   10.119.53.87|        8.8.8.8|53400|   53| 17|         2|       148|        |2016/04/06T00:07:35.695|    1.152|2016/04/06T00:07:36.847|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:07:38.917|    0.000|2016/04/06T00:07:38.917|Health|
  131.247.65.11|        8.8.8.8|58772|   53| 17|         2|       144|        |2016/04/06T00:07:45.959|    0.064|2016/04/06T00:07:46.023|Health|
   172.17.7.168|        8.8.8.8|44274|   53| 17|         1|        60|        |2016/04/06T00:07:48.216|    0.000|2016/04/06T00:07:48.216|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|        10|       840|        |2016/04/06T00:07:59.052|    9.024|2016/04/06T00:08:08.076|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:08:03.176|    0.000|2016/04/06T00:08:03.176|Health|
  131.247.65.11|        8.8.8.8|42481|   53| 17|         2|       138|        |2016/04/06T00:08:20.201|    0.000|2016/04/06T00:08:20.201|Health|
  131.247.65.11|        8.8.8.8|45061|   53| 17|         2|       138|        |2016/04/06T00:08:21.098|    0.000|2016/04/06T00:08:21.098|Health|
   10.119.34.33|    192.168.1.1|51913|  139|  6|         1|        64|        |2016/04/06T00:08:22.165|    0.000|2016/04/06T00:08:22.165|Health|
    172.18.5.48|    192.168.0.1|49016|   53| 17|         1|       120|        |2016/04/06T00:08:30.917|    0.000|2016/04/06T00:08:30.917|Health|
    172.18.5.48|    192.168.0.1|38520|   53| 17|         1|       120|        |2016/04/06T00:08:34.693|    0.000|2016/04/06T00:08:34.693|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:08:33.385|    0.000|2016/04/06T00:08:33.385|Health|
    172.18.5.48|    192.168.0.1|49287|   53| 17|         1|       120|        |2016/04/06T00:08:38.729|    0.000|2016/04/06T00:08:38.729|Health|
   172.17.1.193|        8.8.8.8|51883|   53| 17|         1|        60|        |2016/04/06T00:08:36.875|    0.000|2016/04/06T00:08:36.875|Health|
   10.119.34.39|    192.168.1.1|56711|  139|  6|         1|        64|        |2016/04/06T00:08:39.956|    0.000|2016/04/06T00:08:39.956|Health|
   10.119.53.87|        8.8.8.8|52613|   53| 17|         3|       222|        |2016/04/06T00:08:43.537|    8.576|2016/04/06T00:08:52.113|Health|
  131.247.65.11|        8.8.8.8|60722|   53| 17|         2|       144|        |2016/04/06T00:08:45.226|    0.000|2016/04/06T00:08:45.226|Health|
   10.119.53.87|        8.8.8.8|57308|   53| 17|         1|        60|        |2016/04/06T00:08:47.441|    0.000|2016/04/06T00:08:47.441|Health|
    172.18.5.48|    192.168.0.1|47331|   53| 17|         1|        67|        |2016/04/06T00:08:48.848|    0.000|2016/04/06T00:08:48.848|Health|
   172.17.1.193|        8.8.8.8|47290|   53| 17|         1|        60|        |2016/04/06T00:08:51.856|    0.000|2016/04/06T00:08:51.856|Health|
    172.18.5.48|    192.168.0.1|54483|   53| 17|         1|       155|        |2016/04/06T00:08:52.880|    0.000|2016/04/06T00:08:52.880|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:09:03.464|    0.000|2016/04/06T00:09:03.464|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|        10|       840|        |2016/04/06T00:09:10.735|    9.024|2016/04/06T00:09:19.759|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:09:34.944|    0.000|2016/04/06T00:09:34.944|Health|
   172.17.7.168|        8.8.8.8|44233|   53| 17|         1|        60|        |2016/04/06T00:09:42.547|    0.000|2016/04/06T00:09:42.547|Health|
  131.247.65.11|        8.8.8.8|35599|   53| 17|         2|       144|        |2016/04/06T00:09:45.440|    0.064|2016/04/06T00:09:45.504|Health|
   10.119.53.87|        8.8.8.8|64962|   53| 17|         3|       222|        |2016/04/06T00:09:51.885|    8.384|2016/04/06T00:10:00.269|Health|
   172.17.1.193|        8.8.8.8|46152|   53| 17|         1|        60|        |2016/04/06T00:09:58.166|    0.000|2016/04/06T00:09:58.166|Health|
   172.17.1.193|        8.8.8.8|    0|  771|  1|         1|       104|        |2016/04/06T00:09:58.677|    0.000|2016/04/06T00:09:58.677|Health|
    172.25.1.20|        1.1.1.1|    0| 2048|  1|         1|        60|        |2016/04/06T00:10:00.161|    0.000|2016/04/06T00:10:00.161|Health|
   10.119.52.90|        1.1.1.1|49237| 8000| 17|         1|        90|        |2016/04/06T00:09:59.906|    0.000|2016/04/06T00:09:59.906|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:10:04.255|    0.000|2016/04/06T00:10:04.255|Health|
   172.17.7.168|        8.8.8.8|50879|   53| 17|         1|        60|        |2016/04/06T00:10:20.055|    0.000|2016/04/06T00:10:20.055|Health|
   172.17.1.193|        8.8.8.8|57960|   53| 17|         1|        60|        |2016/04/06T00:10:23.256|    0.000|2016/04/06T00:10:23.256|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|        10|       840|        |2016/04/06T00:10:22.415|    9.024|2016/04/06T00:10:31.439|Health|
   172.17.1.193|        8.8.8.8|44569|   53| 17|         1|        60|        |2016/04/06T00:10:29.266|    0.000|2016/04/06T00:10:29.266|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:10:36.518|    0.000|2016/04/06T00:10:36.518|Health|
   172.17.1.193|        8.8.8.8|46632|   53| 17|         1|        60|        |2016/04/06T00:10:36.309|    0.000|2016/04/06T00:10:36.309|Health|
  131.247.65.11|        8.8.8.8|33184|   53| 17|         2|       144|        |2016/04/06T00:10:45.670|    0.064|2016/04/06T00:10:45.734|Health|
   10.119.53.87|        8.8.8.8|53254|   53| 17|         2|       148|        |2016/04/06T00:11:00.112|    1.088|2016/04/06T00:11:01.200|Health|
  131.247.65.11|        8.8.8.8|40207|   53| 17|         1|        64|        |2016/04/06T00:10:58.022|    0.000|2016/04/06T00:10:58.022|Health|
  131.247.65.11|        8.8.8.8|47420|   53| 17|         1|        64|        |2016/04/06T00:10:58.088|    0.000|2016/04/06T00:10:58.088|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:11:05.189|    0.000|2016/04/06T00:11:05.189|Health|
   131.247.63.6|        8.8.8.8|57036|   53| 17|         1|        82|        |2016/04/06T00:11:17.374|    0.000|2016/04/06T00:11:17.374|Health|
   10.119.34.33|    192.168.1.1|51925|  139|  6|         1|        64|        |2016/04/06T00:11:22.123|    0.000|2016/04/06T00:11:22.123|Health|
   172.17.7.168|        8.8.8.8|38383|   53| 17|         1|        60|        |2016/04/06T00:11:26.227|    0.000|2016/04/06T00:11:26.227|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|        10|       840|        |2016/04/06T00:11:34.090|    9.024|2016/04/06T00:11:43.114|Health|
   172.17.1.193|        8.8.8.8|47762|   53| 17|         1|        60|        |2016/04/06T00:11:36.598|    0.000|2016/04/06T00:11:36.598|Health|
   10.119.34.39|    192.168.1.1|56721|  139|  6|         1|        64|        |2016/04/06T00:11:39.979|    0.000|2016/04/06T00:11:39.979|Health|
  131.247.65.11|        8.8.8.8|48202|   53| 17|         2|       144|        |2016/04/06T00:11:45.855|    0.064|2016/04/06T00:11:45.919|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:12:05.630|    0.000|2016/04/06T00:12:05.630|Health|
   10.119.53.87|        8.8.8.8|55889|   53| 17|         3|       222|        |2016/04/06T00:12:08.010|    8.448|2016/04/06T00:12:16.458|Health|
   172.17.1.193|        8.8.8.8|58736|   53| 17|         1|        60|        |2016/04/06T00:12:10.838|    0.000|2016/04/06T00:12:10.838|Health|
   172.17.1.193|        8.8.8.8|39038|   53| 17|         1|        60|        |2016/04/06T00:12:17.879|    0.000|2016/04/06T00:12:17.879|Health|
     172.18.3.9|    192.168.0.1|33931|   53| 17|         1|       120|        |2016/04/06T00:12:17.622|    0.000|2016/04/06T00:12:17.622|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:12:19.054|    0.000|2016/04/06T00:12:19.054|Health|
     172.18.3.9|    192.168.0.1|56554|   53| 17|         1|       120|        |2016/04/06T00:12:21.591|    0.000|2016/04/06T00:12:21.591|Health|
     172.18.3.9|    192.168.0.1|40684|   53| 17|         1|       120|        |2016/04/06T00:12:25.623|    0.000|2016/04/06T00:12:25.623|Health|
   172.17.7.168|        8.8.8.8|46237|   53| 17|         1|        60|        |2016/04/06T00:12:26.904|    0.000|2016/04/06T00:12:26.904|Health|
   10.119.34.27|        8.8.8.8|44540|   53| 17|         1|        65|        |2016/04/06T00:12:26.125|    0.000|2016/04/06T00:12:26.125|Health|
     172.18.3.9|    192.168.0.1|33599|   53| 17|         1|       120|        |2016/04/06T00:12:29.591|    0.000|2016/04/06T00:12:29.591|Health|
   10.119.34.27|        8.8.8.8|51122|   53| 17|         1|        72|        |2016/04/06T00:12:36.301|    0.000|2016/04/06T00:12:36.301|Health|
   10.119.34.27|        8.8.8.8|44248|   53| 17|         1|        72|        |2016/04/06T00:12:36.299|    0.000|2016/04/06T00:12:36.299|Health|
     172.18.3.9|    192.168.0.1|50963|   53| 17|         1|        67|        |2016/04/06T00:12:39.574|    0.000|2016/04/06T00:12:39.574|Health|
   172.17.1.193|        8.8.8.8|49964|   53| 17|         1|        60|        |2016/04/06T00:12:40.983|    0.000|2016/04/06T00:12:40.983|Health|
     172.18.3.9|    192.168.0.1|62470|   53| 17|         1|       155|        |2016/04/06T00:12:43.607|    0.000|2016/04/06T00:12:43.607|Health|
   172.17.1.193|        8.8.8.8|47621|   53| 17|         1|        60|        |2016/04/06T00:12:47.001|    0.000|2016/04/06T00:12:47.001|Health|
   172.17.1.193|        8.8.8.8|56265|   53| 17|         1|        60|        |2016/04/06T00:12:43.993|    0.000|2016/04/06T00:12:43.993|Health|
     172.18.3.9|    192.168.0.1|55641|   53| 17|         1|        67|        |2016/04/06T00:12:47.577|    0.000|2016/04/06T00:12:47.577|Health|
